station_number,area_code,parameter,valid_start,valid_end,value,unit,statistic,instantaneous,level,qc_valid_minutes,qc_valid_minutes_start,qc_valid_minutes_end
3093,WA_PT027,AIR_TEMP,1452211200,1452211200,24.0,Celsius,first,True,SFC,,1452211200,
3093,WA_PT027,AIR_TEMP,1452214800,1452214800,24.2,Celsius,first,True,SFC,,1452214800,
3093,WA_PT027,AIR_TEMP,1452218400,1452218400,25.4,Celsius,first,True,SFC,,1452218400,
3093,WA_PT027,AIR_TEMP,1452222000,1452222000,26.5,Celsius,first,True,SFC,,1452222000,
3093,WA_PT027,AIR_TEMP,1452225600,1452225600,27.8,Celsius,first,True,SFC,,1452225600,
3093,WA_PT027,AIR_TEMP,1452229200,1452229200,29.8,Celsius,first,True,SFC,,1452229200,
3093,WA_PT027,AIR_TEMP,1452232800,1452232800,31.2,Celsius,first,True,SFC,,1452232800,
3093,WA_PT027,AIR_TEMP,1452236400,1452236400,32.0,Celsius,first,True,SFC,,1452236400,
3093,WA_PT027,AIR_TEMP,1452240000,1452240000,30.6,Celsius,first,True,SFC,,1452240000,
3093,WA_PT027,AIR_TEMP,1452243600,1452243600,31.0,Celsius,first,True,SFC,,1452243600,
3093,WA_PT027,AIR_TEMP,1452247200,1452247200,30.2,Celsius,first,True,SFC,,1452247200,
3093,WA_PT027,AIR_TEMP,1452250800,1452250800,29.2,Celsius,first,True,SFC,,1452250800,
3093,WA_PT027,AIR_TEMP,1452254400,1452254400,28.4,Celsius,first,True,SFC,,1452254400,
3093,WA_PT027,AIR_TEMP,1452258000,1452258000,27.7,Celsius,first,True,SFC,,1452258000,
3093,WA_PT027,AIR_TEMP,1452261600,1452261600,27.2,Celsius,first,True,SFC,,1452261600,
3093,WA_PT027,AIR_TEMP,1452265200,1452265200,27.1,Celsius,first,True,SFC,,1452265200,
3096,WA_PT168,AIR_TEMP,1452182400,1452182400,27.6,Celsius,first,True,SFC,,1452182400,
3096,WA_PT168,AIR_TEMP,1452186000,1452186000,28.1,Celsius,first,True,SFC,,1452186000,
3096,WA_PT168,AIR_TEMP,1452189600,1452189600,28.0,Celsius,first,True,SFC,,1452189600,
3096,WA_PT168,AIR_TEMP,1452193200,1452193200,27.2,Celsius,first,True,SFC,,1452193200,
3096,WA_PT168,AIR_TEMP,1452204000,1452204000,28.3,Celsius,first,True,SFC,,1452193500,
3096,WA_PT168,AIR_TEMP,1452207600,1452207600,31.2,Celsius,first,True,SFC,,1452207600,
3096,WA_PT168,AIR_TEMP,1452211200,1452211200,33.2,Celsius,first,True,SFC,,1452211200,
3096,WA_PT168,AIR_TEMP,1452214800,1452214800,34.1,Celsius,first,True,SFC,,1452214800,
3096,WA_PT168,AIR_TEMP,1452218400,1452218400,35.3,Celsius,first,True,SFC,,1452218400,
3096,WA_PT168,AIR_TEMP,1452222000,1452222000,37.0,Celsius,first,True,SFC,,1452222000,
3096,WA_PT168,AIR_TEMP,1452225600,1452225600,39.4,Celsius,first,True,SFC,,1452225600,
3096,WA_PT168,AIR_TEMP,1452229200,1452229200,39.9,Celsius,first,True,SFC,,1452229200,
3096,WA_PT168,AIR_TEMP,1452232800,1452232800,41.2,Celsius,first,True,SFC,,1452232800,
3096,WA_PT168,AIR_TEMP,1452236400,1452236400,39.2,Celsius,first,True,SFC,,1452236400,
3096,WA_PT168,AIR_TEMP,1452240000,1452240000,36.1,Celsius,first,True,SFC,,1452240000,
3096,WA_PT168,AIR_TEMP,1452243600,1452243600,34.6,Celsius,first,True,SFC,,1452243600,
3096,WA_PT168,AIR_TEMP,1452247200,1452247200,32.3,Celsius,first,True,SFC,,1452247200,
